# 'Tdn_K_76.8G'	'Rdn_Ohm_76.8G'
235.066	0.69216
234.963	0.692961
234.863	0.690484
234.761	0.69038
234.657	0.69198
234.554	0.689037
234.452	0.690535
234.348	0.689011
234.246	0.689192
234.147	0.68852
234.046	0.688908
233.941	0.689424
233.84	0.688443
233.737	0.687849
233.637	0.688262
233.532	0.687668
233.433	0.68772
233.331	0.685242
233.227	0.686068
233.129	0.686299
233.025	0.685757
232.923	0.685628
232.821	0.684905
232.718	0.684698
232.615	0.685085
232.516	0.684052
232.413	0.685343
232.311	0.683148
232.21	0.682736
232.105	0.684157
232.001	0.682761
231.901	0.682735
231.798	0.682839
231.699	0.682633
231.595	0.680489
231.495	0.681341
231.39	0.681212
231.29	0.682348
231.19	0.681961
231.089	0.680696
230.986	0.681704
230.88	0.680024
230.782	0.68129
230.679	0.680463
230.577	0.679043
230.475	0.679043
230.37	0.6777
230.268	0.676797
230.166	0.678086
230.064	0.677622
229.964	0.677364
229.863	0.67721
229.756	0.676796
229.654	0.676564
229.554	0.676693
229.452	0.67504
229.351	0.676693
229.248	0.67442
229.149	0.674678
229.044	0.674524
228.942	0.674963
228.841	0.674575
228.74	0.6738
228.637	0.674292
228.537	0.67442
228.432	0.673853
228.332	0.673464
228.23	0.673568
228.131	0.672613
228.026	0.671347
227.927	0.672819
227.826	0.672381
227.72	0.671812
227.619	0.669643
227.516	0.670082
227.413	0.670288
227.313	0.669359
227.21	0.668945
227.107	0.668662
227.003	0.67003
226.905	0.66861
226.8	0.668017
226.699	0.66972
226.597	0.668971
226.494	0.667991
226.394	0.669024
226.291	0.667964
226.188	0.667241
226.087	0.666854
225.982	0.667421
225.881	0.667345
225.779	0.666234
225.678	0.666027
225.573	0.665278
225.47	0.665847
225.368	0.66626
225.266	0.667087
225.165	0.665252
225.06	0.663032
224.96	0.66502
224.855	0.663858
224.753	0.665253
224.65	0.663755
224.549	0.664478
224.446	0.662077
224.344	0.663031
224.242	0.662748
224.143	0.66205
224.04	0.662645
223.938	0.66169
223.833	0.660682
223.731	0.662515
223.625	0.661972
223.528	0.661508
223.427	0.660836
223.325	0.660474
223.221	0.66032
223.119	0.661353
223.013	0.659467
222.912	0.658332
222.811	0.659261
222.709	0.658978
222.608	0.657377
222.505	0.658693
222.402	0.659339
222.302	0.658461
222.201	0.658823
222.099	0.65766
221.996	0.656861
221.894	0.658746
221.793	0.657376
221.691	0.657349
221.59	0.657143
221.488	0.657324
221.387	0.655931
221.282	0.656577
221.179	0.65482
221.078	0.655723
220.975	0.654923
220.874	0.654588
220.771	0.654149
220.667	0.655129
220.566	0.653245
220.462	0.654381
220.36	0.6542
220.258	0.653787
220.158	0.654174
220.054	0.652701
219.954	0.653503
219.851	0.65265
219.748	0.653374
