# Tdn_K_93G	Rdn_Ohm_93G	'Rdn/R5k_Ohm_93G'
224.642	0.482832	1.1703
224.538	0.482526	1.16956
224.432	0.482635	1.16983
224.325	0.48275 	1.1701
224.219	0.482485	1.16946
224.113	0.482464	1.16941
224.008	0.482334	1.1691
223.901	0.482402	1.16926
223.796	0.482329	1.16908
223.691	0.482142	1.16863
223.585	0.482043	1.16839
223.478	0.482517	1.16954
223.375	0.481918	1.16809
223.268	0.48209  	1.1685
223.161	0.482152	1.16865
223.057	0.481716	1.1676
222.95	0.481668	1.16748
222.845	0.481461	1.16698
222.741	0.481544	1.16718
222.636	0.48133 	1.16666
222.53	0.4817  	1.16756
222.423	0.481341	1.16669
222.32	0.481102	1.16611
222.211	0.481289	1.16656
222.106	0.480998	1.16586
222	0.480957	1.16576
221.894	0.480972	1.1658
221.787	0.480779	1.16533
221.683	0.48105 	1.16598
221.576	0.480525	1.16471
221.469	0.480769	1.1653
221.365	0.480624	1.16495
221.257	0.480483	1.16461
221.153	0.480452	1.16453
221.048	0.480312	1.16419
220.943	0.480317	1.16421
220.835	0.480197	1.16392
220.732	0.480094	1.16367
220.626	0.480145	1.16379
220.521	0.479948	1.16331
220.412	0.479979	1.16339
220.308	0.479907	1.16321
220.202	0.479844	1.16306
220.097	0.479849	1.16307
219.991	0.479532	1.1623
219.885	0.4796  	1.16247
219.779	0.47962  	1.16252
219.674	0.479434	1.16207
219.57	0.479606	1.16248
219.464	0.479361	1.16189
219.357	0.479262	1.16165
219.25	0.479053	1.16114
219.144	0.479163	1.16141
219.039	0.478866	1.16069
218.933	0.479048	1.16113
218.828	0.47856 	1.15995
218.722	0.478845	1.16064
218.618	0.478773	1.16047
218.511	0.478596	1.16004
218.403	0.478514	1.15984
218.296	0.478492	1.15978
218.19	0.478576	1.15999
218.084	0.478144	1.15894
217.978	0.478358	1.15946
217.873	0.478154	1.15897
217.768	0.477926	1.15841
217.661	0.477817	1.15815
217.556	0.477656	1.15776
217.452	0.477535	1.15746
217.345	0.477281	1.15685
217.242	0.477587	1.15759
217.136	0.477297	1.15689
217.031	0.477208	1.15667
216.923	0.477182	1.15661
216.815	0.477255	1.15678
216.71	0.476948	1.15604
216.605	0.477151	1.15653
216.501	0.47688 	1.15588
216.395	0.477016	1.15621
216.29	0.477031	1.15624
216.184	0.476574	1.15513
216.079	0.476465	1.15487
215.973	0.476376	1.15466
215.866	0.476688	1.15541
215.758	0.476382	1.15467
215.653	0.476293	1.15445
215.546	0.476069	1.15391
215.441	0.476314	1.1545
215.337	0.475982	1.1537
215.232	0.476237	1.15432
215.127	0.476111	1.15401
215.023	0.475779	1.15321
214.915	0.475768	1.15318
214.81	0.475436	1.15238
214.704	0.475742	1.15312
214.6	0.475622	1.15283
214.494	0.475612	1.1528
214.388	0.475405	1.1523
214.282	0.475331	1.15212
214.176	0.475343	1.15215
214.07	0.475399	1.15229
213.967	0.475353	1.15217
213.86	0.475279	1.152
213.753	0.475066	1.15148
213.647	0.475021	1.15137
213.542	0.47491	1.1511
213.438	0.474573	1.15028
213.333	0.474495	1.1501
213.228	0.474277	1.14957
213.123	0.474369	1.14979
213.018	0.474375	1.1498
212.911	0.474375	1.1498
212.804	0.474001	1.1489
212.697	0.474188	1.14935
212.59	0.473938	1.14875
212.484	0.474043	1.149
212.378	0.473866	1.14857
212.272	0.47385	1.14853
212.167	0.473647	1.14804
212.061	0.473538	1.14778
211.956	0.473543	1.14779
211.852	0.473559	1.14783
211.745	0.473397	1.14744
211.642	0.473481	1.14764
211.537	0.473335	1.14728
211.433	0.473309	1.14722
211.327	0.473133	1.14679
211.221	0.473003	1.14648
211.115	0.472655	1.14563
211.01	0.472905	1.14624
210.905	0.472836	1.14607
210.8	0.472779	1.14594
210.695	0.472785	1.14595
210.589	0.4723	1.14478
210.483	0.472576	1.14545
210.379	0.472311	1.1448
210.274	0.472374	1.14496
210.169	0.47228	1.14473
210.066	0.472349	1.14489
209.964	0.472208	1.14455
209.857	0.472004	1.14406
209.75	0.471953	1.14393
209.646	0.471651	1.1432
209.541	0.471817	1.1436
209.435	0.471901	1.14381
209.33	0.471625	1.14314
209.226	0.4715	1.14284
209.12	0.471345	1.14246
209.016	0.471364	1.14251
208.911	0.471396	1.14259
208.806	0.471141	1.14197
208.699	0.471026	1.14169
208.594	0.470996	1.14161
208.488	0.470907	1.1414
208.383	0.471058	1.14177
208.276	0.471017	1.14167
208.172	0.470658	1.1408
208.067	0.470632	1.14073
207.962	0.470658	1.14079
207.853	0.470658	1.1408
207.748	0.470294	1.13991
207.642	0.470289	1.1399
207.535	0.46994	1.13906
207.427	0.470044	1.13931
207.322	0.470159	1.13959
207.218	0.469925	1.13902
207.111	0.469904	1.13897
207.007	0.46979	1.13869
206.902	0.4698	1.13872
206.796	0.469515	1.13802
206.69	0.469722	1.13853
206.584	0.46928	1.13745
206.478	0.469681	1.13843
206.373	0.469369	1.13767
206.268	0.469197	1.13726
206.16	0.468792	1.13627
206.055	0.468859	1.13644
205.95	0.468875	1.13647
205.844	0.468911	1.13656
205.738	0.468755	1.13618
205.632	0.468745	1.13616
205.524	0.468875	1.13647
205.419	0.46835	1.1352
205.315	0.468091	1.13457
205.208	0.468361	1.13523
205.102	0.468272	1.13501
204.995	0.468152	1.13472
204.889	0.468298	1.13508
204.786	0.468007	1.13437
204.679	0.467877	1.13405
204.571	0.467867	1.13403
204.466	0.467763	1.13378
204.361	0.467565	1.1333
204.256	0.467544	1.13325
204.15	0.467648	1.1335
204.046	0.467607	1.1334
203.941	0.467081	1.13213
203.835	0.467472	1.13307
203.728	0.467113	1.1322
203.624	0.467149	1.13229
203.519	0.466983	1.13189
203.413	0.466811	1.13147
203.306	0.466936	1.13177
203.201	0.466833	1.13152
203.095	0.466706	1.13122
202.99	0.466863	1.1316
202.885	0.466691	1.13118
202.778	0.466765	1.13136
202.671	0.466464	1.13063
202.566	0.466219	1.13004
202.457	0.466161	1.1299
202.352	0.466161	1.1299
202.245	0.465995	1.12949
202.137	0.465813	1.12905
202.03	0.46587	1.12919
201.924	0.46562	1.12858
201.817	0.465475	1.12823
201.714	0.4656	1.12854
201.607	0.465376	1.12799
201.5	0.465241	1.12767
201.393	0.465324	1.12787
201.286	0.465288	1.12778
201.177	0.465028	1.12715
201.073	0.464835	1.12668
200.968	0.464768	1.12652
200.863	0.465003	1.12709
200.757	0.465018	1.12712
200.65	0.464529	1.12594
200.544	0.464753	1.12648
200.439	0.464597	1.1261
200.332	0.46443	1.1257
200.227	0.46443	1.1257
200.121	0.464389	1.1256
200.017	0.463983	1.12462
199.91	0.464112	1.12493
199.803	0.46378	1.12413
199.696	0.463926	1.12448
199.591	0.463921	1.12447
199.486	0.463833	1.12425
199.38	0.463844	1.12428
199.274	0.463374	1.12314
199.167	0.463541	1.12355
199.059	0.463583	1.12365
198.953	0.463354	1.12309
198.845	0.463235	1.1228
198.738	0.463235	1.1228
198.632	0.463006	1.12225
198.524	0.463079	1.12243
