# 'Tdn_K_123.5G'	'Rdn_Ohm_123.5G'	'Rdn/R5k_Ohm_123.5G'
254.407	0.433078	1.05853
254.302	0.43304	1.05841
254.196	0.433015	1.0584
254.09	0.433002	1.05833
253.987	0.432972	1.05828
253.881	0.432943	1.05817
253.775	0.432917	1.05813
253.671	0.432903	1.05801
253.565	0.43286	1.05799
253.461	0.432849	1.05794
253.357	0.432829	1.05787
253.252	0.432807	1.05781
253.148	0.432769	1.0577
253.04	0.432759	1.05768
252.931	0.432716	1.0576
252.827	0.432695	1.05754
252.721	0.432665	1.05749
252.613	0.432656	1.05745
252.512	0.432634	1.05735
252.403	0.432604	1.0573
252.295	0.432583	1.05723
252.188	0.432545	1.05718
252.084	0.432526	1.05707
251.984	0.432506	1.05703
251.881	0.432485	1.05696
251.774	0.432465	1.05691
251.665	0.43243	1.05686
251.559	0.432425	1.0568
251.452	0.432391	1.05673
251.343	0.432366	1.05666
251.235	0.432359	1.05661
251.131	0.432321	1.05657
251.025	0.432306	1.05649
250.918	0.432277	1.0564
250.81	0.432273	1.05634
250.707	0.432232	1.05631
250.601	0.4322	1.05623
250.5	0.432188	1.05616
250.395	0.432167	1.0561
250.29	0.432152	1.05607
250.181	0.432122	1.05596
250.075	0.432094	1.05593
249.965	0.43207	1.05589
249.864	0.432056	1.05583
249.756	0.432036	1.05574
249.65	0.432019	1.05572
249.544	0.431991	1.05561
249.437	0.431959	1.05556
249.335	0.431932	1.05549
249.229	0.431906	1.05546
249.123	0.431907	1.05541
249.018	0.431861	1.05534
248.91	0.43186	1.05529
248.801	0.431831	1.05519
248.697	0.431794	1.05515
248.589	0.431787	1.0551
248.483	0.431761	1.05505
248.378	0.431748	1.055
248.273	0.43173	1.05491
248.162	0.431711	1.0549
248.058	0.431682	1.05482
247.953	0.431651	1.05476
247.846	0.431637	1.05474
247.743	0.431613	1.05465
247.634	0.431593	1.05461
247.527	0.431561	1.05454
247.42	0.431542	1.05453
247.314	0.431516	1.05443
247.209	0.431498	1.05435
247.105	0.43148	1.05432
247	0.431463	1.05427
246.897	0.431441	1.05423
246.792	0.431425	1.05416
246.683	0.431396	1.05409
246.577	0.431376	1.05403
246.471	0.431346	1.054
246.364	0.431337	1.05395
246.262	0.431316	1.05391
246.153	0.43129	1.05384
246.047	0.43126	1.05376
245.942	0.431241	1.0537
245.836	0.431225	1.05363
245.73	0.431204	1.05364
245.626	0.431175	1.05352
245.517	0.431152	1.05352
245.418	0.431157	1.05345
245.309	0.431125	1.05336
245.205	0.431114	1.05335
245.102	0.431082	1.05328
244.992	0.431068	1.05325
244.883	0.431052	1.05321
244.784	0.431032	1.05316
244.68	0.431007	1.05309
244.572	0.430999	1.05301
244.467	0.430962	1.05298
244.363	0.430948	1.05292
244.261	0.430924	1.05287
244.154	0.430916	1.05279
244.048	0.430883	1.05275
243.947	0.430867	1.05268
243.836	0.430843	1.05264
243.738	0.430816	1.0526
243.628	0.430789	1.05255
243.524	0.43078	1.0525
243.421	0.430754	1.05246
243.312	0.430742	1.05239
243.207	0.430715	1.05234
243.102	0.430699	1.05227
242.996	0.430683	1.05225
242.891	0.43066	1.0522
242.785	0.430631	1.05213
242.681	0.43062	1.05206
242.577	0.430596	1.05201
242.47	0.430574	1.05197
242.363	0.430552	1.05192
242.258	0.43054	1.05185
242.149	0.430529	1.05179
242.046	0.43051	1.05181
241.946	0.430484	1.05173
241.835	0.430468	1.0517
241.733	0.430439	1.05162
241.631	0.430431	1.05159
241.528	0.430401	1.05155
241.42	0.43038	1.0515
241.316	0.430366	1.05144
241.206	0.430344	1.05142
241.099	0.430331	1.05133
240.994	0.430304	1.0513
240.89	0.43028	1.05124
240.786	0.430275	1.05122
240.676	0.430246	1.05114
240.569	0.430236	1.0511
240.462	0.430219	1.05104
240.356	0.430185	1.05098
240.253	0.430173	1.05091
240.144	0.430156	1.05089
240.042	0.430134	1.05083
239.933	0.430117	1.0508
239.827	0.430094	1.05073
239.719	0.430089	1.05069
239.608	0.430056	1.05065
239.505	0.430026	1.05059
239.395	0.430027	1.05052
239.288	0.430005	1.0505
239.186	0.429974	1.05044
239.076	0.429953	1.05039
238.97	0.429934	1.05033
238.865	0.429916	1.0503
238.76	0.429916	1.05028
238.653	0.429881	1.05023
238.552	0.429871	1.05017
238.447	0.429848	1.05013
238.34	0.429828	1.05006
238.239	0.429797	1.05004
238.133	0.429793	1.04996
238.03	0.429775	1.04991
237.924	0.429759	1.04988
237.821	0.429741	1.04983
237.714	0.429737	1.04979
237.606	0.429696	1.04973
237.503	0.429668	1.04967
237.393	0.429667	1.04966
237.286	0.429652	1.04959
237.18	0.429625	1.04956
237.073	0.429592	1.04952
236.967	0.429591	1.04944
236.859	0.429573	1.04941
236.75	0.429553	1.04937
236.647	0.42952	1.04931
236.537	0.429521	1.04927
236.43	0.429488	1.04921
236.332	0.429475	1.0492
236.22	0.429465	1.04912
236.116	0.42943	1.04905
236.007	0.429422	1.04905
235.903	0.429403	1.049
235.798	0.4294	1.04892
235.692	0.429364	1.04887
235.584	0.429336	1.04882
235.482	0.429327	1.04878
235.379	0.429309	1.04878
235.274	0.429297	1.0487
235.168	0.429269	1.04867
235.085	0.429267	1.04861
234.976	0.429246	1.04857
234.865	0.429232	1.04849
234.761	0.429219	1.04848
234.661	0.429197	1.04844
234.552	0.429181	1.0484
234.448	0.429134	1.04835
234.34	0.42913	1.04834
234.236	0.429118	1.04824
234.131	0.429111	1.04817
234.022	0.429099	1.04817
233.918	0.429074	1.04814
233.807	0.429051	1.04807
233.703	0.429039	1.04799
233.594	0.429022	1.04799
233.488	0.428989	1.04794
233.384	0.428991	1.04789
233.28	0.428965	1.04781
233.173	0.428949	1.04782
233.064	0.428925	1.04774
232.96	0.428916	1.04771
232.851	0.428891	1.04768
232.744	0.428878	1.04759
232.636	0.42886	1.04758
232.535	0.428855	1.04753
232.429	0.428808	1.04752
232.321	0.428817	1.04743
232.22	0.428793	1.04736
232.113	0.428779	1.04734
232.008	0.428752	1.0473
231.898	0.428737	1.04727
231.794	0.428719	1.0472
231.687	0.428715	1.0472
231.581	0.428676	1.04715
231.476	0.428673	1.04711
231.372	0.428663	1.04708
231.267	0.42864	1.04703
231.162	0.428625	1.04699
231.055	0.428589	1.04687
230.951	0.428584	1.04686
230.845	0.428567	1.04683
230.74	0.428554	1.04682
230.636	0.428536	1.04679
230.53	0.428521	1.04673
230.423	0.428502	1.04667
230.317	0.428486	1.04664
230.213	0.428474	1.0466
230.108	0.428454	1.04652
230.001	0.428441	1.04652
229.895	0.42841	1.04646
229.792	0.428396	1.04642
229.684	0.42839	1.04636
229.577	0.428377	1.04634
229.476	0.428355	1.04628
229.369	0.428345	1.04625
229.264	0.428318	1.0462
229.159	0.428299	1.04619
229.059	0.428286	1.04608
228.951	0.428278	1.0461
228.845	0.428248	1.04604
228.744	0.42823	1.04601
228.634	0.428218	1.04594
228.528	0.42821	1.0459
228.422	0.428182	1.04586
228.313	0.428187	1.04585
228.211	0.428164	1.04576
228.101	0.428107	1.04575
227.997	0.428096	1.04572
227.891	0.428093	1.04567
227.786	0.42806	1.04563
227.681	0.42804	1.04554
227.575	0.428037	1.04553
