# Tdn_K_80G	Rdn_Ohm_80G
240.358	0.80431
240.253	0.804093
240.149	0.804017
240.047	0.803947
239.946	0.803686
239.839	0.803533
239.731	0.803375
239.628	0.803125
239.531	0.802946
239.426	0.802815
239.323	0.802559
239.222	0.80254
239.126	0.802353
239.028	0.802102
238.927	0.802014
238.826	0.80185
238.723	0.801534
238.617	0.801598
238.515	0.801443
238.415	0.801093
238.315	0.800832
238.21	0.800807
238.111	0.800552
238.005	0.800495
237.912	0.800406
237.809	0.800376
237.703	0.799834
237.602	0.799887
237.499	0.799743
237.399	0.799647
237.295	0.799406
237.193	0.799146
237.091	0.799067
236.99	0.798935
236.895	0.798513
236.792	0.79848
236.687	0.798352
236.585	0.79812
236.48	0.798054
236.378	0.797895
236.278	0.797779
236.179	0.797389
236.075	0.797451
235.979	0.797214
235.873	0.797024
235.773	0.796796
235.668	0.796867
235.571	0.796544
235.469	0.796557
235.369	0.796233
235.269	0.796118
235.162	0.795962
235.064	0.795777
234.963	0.795688
234.861	0.79546
234.763	0.795349
234.661	0.795221
234.55	0.795021
234.448	0.794914
234.348	0.794674
234.253	0.794417
234.149	0.794277
234.052	0.794116
233.944	0.794019
233.841	0.793794
233.737	0.793586
233.634	0.793619
233.532	0.793391
233.433	0.793206
233.329	0.792976
233.228	0.792817
233.125	0.792676
233.018	0.792709
232.917	0.792198
232.812	0.792144
232.714	0.791932
232.613	0.791808
232.512	0.791615
232.409	0.791689
232.314	0.791292
232.212	0.791386
232.111	0.791234
232.006	0.790924
231.909	0.790814
231.803	0.79071
231.7	0.790414
231.602	0.790193
231.498	0.790122
231.398	0.789905
231.297	0.789803
231.198	0.789622
231.096	0.789448
230.997	0.789338
230.893	0.789206
230.788	0.78908
230.687	0.788709
230.59	0.788673
230.486	0.788327
230.386	0.788296
230.282	0.788125
230.177	0.788088
230.075	0.787791
229.972	0.787697
229.868	0.787465
229.762	0.787386
229.658	0.787261
229.559	0.787047
229.457	0.787105
229.409	0.786706
229.304	0.786559
229.204	0.786492
229.103	0.786323
228.994	0.786075
228.89	0.786008
228.792	0.785692
228.695	0.785686
228.587	0.785581
228.485	0.785338
228.382	0.785172
228.284	0.785079
228.178	0.7848
228.08	0.78474
227.974	0.78455
227.871	0.784369
227.766	0.78426
227.663	0.784142
227.554	0.783856
227.454	0.783822
227.351	0.78357
227.252	0.783443
227.144	0.783338
227.046	0.783068
226.944	0.782951
226.842	0.782881
226.746	0.782671
226.644	0.782435
226.544	0.782257
226.439	0.782271
