# 'raman_27.6G_p1'	'Int_27.6G_p1'
476.129	3503.45
476.793	3541.27
477.458	3530.36
478.122	3505.82
478.786	3531.27
479.45	3510.55
480.114	3540.73
480.778	3568
481.442	3536
482.106	3534
482.769	3536.36
483.433	3541.45
484.097	3516.36
484.76	3510.36
485.424	3536.36
486.087	3538.18
486.75	3533.27
487.413	3488
488.076	3520
488.74	3506.73
489.402	3509.45
490.065	3501.64
490.728	3581.64
491.391	3487.64
492.054	3501.09
492.716	3537.82
493.379	3490
494.041	3503.09
494.704	3502.18
495.366	3466
496.028	3494.91
496.69	3486.18
497.352	3500.73
498.014	3480
498.676	3454.36
499.338	3472.36
500	3487.64
500.662	3485.27
501.323	3494.55
501.985	3514.55
502.646	3457.09
503.308	3435.82
503.969	3491.27
504.63	3464.18
505.292	3469.64
505.953	3446.91
506.614	3490.55
507.275	3446
507.936	3473.09
508.597	3455.09
509.257	3476.73
509.918	3482
510.579	3456.73
511.239	3478.91
511.9	3438.36
512.56	3453.82
513.22	3441.64
513.881	3442.18
514.541	3522.55
515.201	3447.64
515.861	3468.18
516.521	3452.91
517.181	3490.73
517.84	3497.82
518.5	3445.45
519.16	3453.45
519.819	3470.18
520.479	3459.27
521.138	3391.45
521.798	3460.73
522.457	3387.82
523.116	3458.18
523.775	3409.82
524.434	3471.45
525.093	3410
525.752	3440.18
526.411	3421.64
527.07	3444.91
527.729	3416.91
528.387	3408.55
529.046	3431.09
529.704	3435.64
530.363	3414.91
531.021	3435.82
531.679	3440.91
532.338	3380.55
532.996	3445.09
533.654	3434.18
534.312	3485.09
534.97	3470.18
535.627	3388.73
536.285	3478.91
536.943	3416.55
537.6	3446.18
538.258	3486.73
538.915	3422.91
539.573	3423.82
540.23	3428.73
540.887	3404.91
541.544	3440.36
542.202	3429.09
542.859	3437.82
543.516	3430
544.172	3428
544.829	3468
545.486	3359.64
546.143	3447.64
546.799	3420.18
547.456	3399.09
548.112	3448.55
548.768	3410.73
549.425	3420.36
550.081	3432.18
550.737	3437.27
551.393	3401.09
552.049	3430.36
552.705	3413.27
553.361	3448.36
554.017	3407.82
554.672	3415.64
555.328	3403.09
555.983	3401.45
556.639	3461.09
557.294	3480.18
557.95	3410.73
558.605	3430.73
559.26	3450.36
559.915	3433.82
560.57	3380.73
561.225	3399.64
561.88	3419.09
562.535	3431.82
563.19	3392.55
