# == pyFAI calibration ==
# Distance Sample to Detector: 0.11507480176033233 m
# PONI: 5.477e-03, 4.716e-03 m
# Rotations: 0.004686 0.005536 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 115.078 mm
# Center: x=55.690, y=81.516 pix
# Tilt: 0.416 deg  TiltPlanRot: 130.247 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-05, 7.500e-05 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.833e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
4.079368014E+00  2.560119934E+02
4.094108806E+00  2.549496918E+02
4.108849598E+00  2.545521088E+02
4.123590390E+00  2.531240387E+02
4.138331182E+00  2.521896057E+02
4.153071975E+00  2.512154999E+02
4.167812767E+00  2.504392090E+02
4.182553559E+00  2.497118073E+02
4.197294351E+00  2.493375854E+02
4.212035143E+00  2.486091156E+02
4.226775935E+00  2.479049988E+02
4.241516727E+00  2.465864868E+02
4.256257519E+00  2.466389008E+02
4.270998311E+00  2.469268494E+02
4.285739104E+00  2.472711945E+02
4.300479896E+00  2.471468201E+02
4.315220688E+00  2.457727509E+02
4.329961480E+00  2.459680328E+02
4.344702272E+00  2.462215118E+02
4.359443064E+00  2.459358978E+02
4.374183856E+00  2.452891846E+02
4.388924648E+00  2.445149689E+02
4.403665440E+00  2.441681976E+02
4.418406233E+00  2.428358765E+02
4.433147025E+00  2.421459808E+02
4.447887817E+00  2.417797699E+02
4.462628609E+00  2.418946686E+02
4.477369401E+00  2.414245605E+02
4.492110193E+00  2.402182007E+02
4.506850985E+00  2.392022705E+02
4.521591777E+00  2.388888550E+02
4.536332569E+00  2.389394073E+02
4.551073362E+00  2.384162292E+02
4.565814154E+00  2.390139160E+02
4.580554946E+00  2.384720764E+02
4.595295738E+00  2.382819824E+02
4.610036530E+00  2.373348389E+02
4.624777322E+00  2.365581055E+02
4.639518114E+00  2.367052765E+02
4.654258906E+00  2.364607086E+02
4.668999698E+00  2.367545776E+02
4.683740491E+00  2.359382324E+02
4.698481283E+00  2.351549835E+02
4.713222075E+00  2.354339294E+02
4.727962867E+00  2.356443634E+02
4.742703659E+00  2.354461823E+02
4.757444451E+00  2.351171722E+02
4.772185243E+00  2.349496002E+02
4.786926035E+00  2.345393372E+02
4.801666827E+00  2.340906067E+02
4.816407620E+00  2.342510071E+02
4.831148412E+00  2.347932281E+02
4.845889204E+00  2.347651672E+02
4.860629996E+00  2.339993286E+02
4.875370788E+00  2.333837280E+02
4.890111580E+00  2.328731537E+02
4.904852372E+00  2.331808929E+02
4.919593164E+00  2.324624939E+02
4.934333956E+00  2.317425690E+02
4.949074749E+00  2.310117645E+02
4.963815541E+00  2.313392334E+02
4.978556333E+00  2.313661041E+02
4.993297125E+00  2.307539673E+02
5.008037917E+00  2.299761658E+02
5.022778709E+00  2.295404053E+02
5.037519501E+00  2.305040588E+02
5.052260293E+00  2.310600586E+02
5.067001086E+00  2.311591492E+02
5.081741878E+00  2.303099060E+02
5.096482670E+00  2.288770599E+02
5.111223462E+00  2.284473267E+02
5.125964254E+00  2.292048492E+02
5.140705046E+00  2.305788574E+02
5.155445838E+00  2.308181610E+02
5.170186630E+00  2.297120361E+02
5.184927422E+00  2.284749756E+02
5.199668215E+00  2.275077515E+02
5.214409007E+00  2.272592316E+02
5.229149799E+00  2.275360260E+02
5.243890591E+00  2.274297943E+02
5.258631383E+00  2.272117004E+02
5.273372175E+00  2.271850281E+02
5.288112967E+00  2.268672943E+02
5.302853759E+00  2.265106049E+02
5.317594551E+00  2.266366577E+02
5.332335344E+00  2.263975677E+02
5.347076136E+00  2.264321442E+02
5.361816928E+00  2.259279327E+02
5.376557720E+00  2.258323212E+02
5.391298512E+00  2.262155914E+02
5.406039304E+00  2.265166321E+02
5.420780096E+00  2.265203247E+02
5.435520888E+00  2.256665649E+02
5.450261680E+00  2.246763153E+02
5.465002473E+00  2.242783203E+02
5.479743265E+00  2.248108978E+02
5.494484057E+00  2.257984009E+02
5.509224849E+00  2.256972656E+02
5.523965641E+00  2.251483154E+02
5.538706433E+00  2.239630737E+02
5.553447225E+00  2.239920959E+02
5.568188017E+00  2.248802032E+02
5.582928809E+00  2.253157501E+02
5.597669602E+00  2.252709198E+02
5.612410394E+00  2.251679535E+02
5.627151186E+00  2.244140015E+02
5.641891978E+00  2.246681824E+02
5.656632770E+00  2.250635529E+02
5.671373562E+00  2.250845490E+02
5.686114354E+00  2.246915283E+02
5.700855146E+00  2.244206848E+02
5.715595938E+00  2.241314697E+02
5.730336731E+00  2.244754791E+02
5.745077523E+00  2.251259460E+02
5.759818315E+00  2.266372986E+02
5.774559107E+00  2.267771759E+02
5.789299899E+00  2.262778320E+02
5.804040691E+00  2.255600739E+02
5.818781483E+00  2.254049377E+02
5.833522275E+00  2.259078369E+02
5.848263067E+00  2.266838837E+02
5.863003860E+00  2.275510559E+02
5.877744652E+00  2.272851105E+02
5.892485444E+00  2.267915344E+02
5.907226236E+00  2.256570892E+02
5.921967028E+00  2.246705933E+02
5.936707820E+00  2.241719818E+02
5.951448612E+00  2.231684723E+02
5.966189404E+00  2.233701019E+02
5.980930196E+00  2.235477142E+02
5.995670989E+00  2.237500153E+02
6.010411781E+00  2.232485199E+02
6.025152573E+00  2.230345306E+02
6.039893365E+00  2.228271027E+02
6.054634157E+00  2.231692505E+02
6.069374949E+00  2.231960907E+02
6.084115741E+00  2.233187866E+02
6.098856533E+00  2.229682617E+02
6.113597325E+00  2.227382660E+02
6.128338118E+00  2.221568756E+02
6.143078910E+00  2.224171600E+02
6.157819702E+00  2.225784454E+02
6.172560494E+00  2.223973541E+02
6.187301286E+00  2.222282257E+02
6.202042078E+00  2.226506500E+02
6.216782870E+00  2.226581879E+02
6.231523662E+00  2.225323029E+02
6.246264454E+00  2.227516022E+02
6.261005247E+00  2.228990631E+02
6.275746039E+00  2.231418304E+02
6.290486831E+00  2.225708466E+02
6.305227623E+00  2.226243591E+02
6.319968415E+00  2.233669891E+02
6.334709207E+00  2.236686249E+02
6.349449999E+00  2.237949219E+02
6.364190791E+00  2.235495911E+02
6.378931584E+00  2.233276062E+02
6.393672376E+00  2.235697479E+02
6.408413168E+00  2.242523041E+02
6.423153960E+00  2.248398743E+02
6.437894752E+00  2.249444885E+02
6.452635544E+00  2.255880890E+02
6.467376336E+00  2.259718781E+02
6.482117128E+00  2.256718903E+02
6.496857920E+00  2.247672729E+02
6.511598713E+00  2.250529633E+02
6.526339505E+00  2.254700775E+02
6.541080297E+00  2.262618256E+02
6.555821089E+00  2.260013885E+02
6.570561881E+00  2.268103638E+02
6.585302673E+00  2.271521149E+02
6.600043465E+00  2.268971100E+02
6.614784257E+00  2.270334778E+02
6.629525049E+00  2.260761719E+02
6.644265842E+00  2.259459686E+02
6.659006634E+00  2.255520325E+02
6.673747426E+00  2.257315979E+02
6.688488218E+00  2.261119537E+02
6.703229010E+00  2.265020905E+02
6.717969802E+00  2.268127441E+02
6.732710594E+00  2.258432312E+02
6.747451386E+00  2.251383057E+02
6.762192178E+00  2.250645447E+02
6.776932971E+00  2.253733673E+02
6.791673763E+00  2.261049042E+02
6.806414555E+00  2.267292480E+02
6.821155347E+00  2.272553711E+02
6.835896139E+00  2.270769043E+02
6.850636931E+00  2.269209595E+02
6.865377723E+00  2.264179840E+02
6.880118515E+00  2.266771088E+02
6.894859307E+00  2.268276978E+02
6.909600100E+00  2.268012390E+02
6.924340892E+00  2.272515106E+02
6.939081684E+00  2.270389709E+02
6.953822476E+00  2.272572327E+02
6.968563268E+00  2.278103180E+02
